date,team1,team2,winner,champion_prediction,challenger_prediction,champion_correct,challenger_correct,category,champion_toss_winner_is_team1,challenger_toss_winner_is_team1,diff_toss_winner_is_team1,champion_team1_historical_win_rate,challenger_team1_historical_win_rate,diff_team1_historical_win_rate,champion_team2_historical_win_rate,challenger_team2_historical_win_rate,diff_team2_historical_win_rate,champion_team1_recent_win_rate,challenger_team1_recent_win_rate,diff_team1_recent_win_rate,champion_team2_recent_win_rate,challenger_team2_recent_win_rate,diff_team2_recent_win_rate,champion_team1_h2h_win_rate,challenger_team1_h2h_win_rate,diff_team1_h2h_win_rate,champion_team2_h2h_win_rate,challenger_team2_h2h_win_rate,diff_team2_h2h_win_rate,champion_team1_venue_win_rate,challenger_team1_venue_win_rate,diff_team1_venue_win_rate,champion_team2_venue_win_rate,challenger_team2_venue_win_rate,diff_team2_venue_win_rate,challenger_toss_data_known,changed_feature_count,changed_features,total_absolute_feature_change
2026-02-17,Scotland,Nepal,Nepal,1,0,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.4886363636363636,0.4432989690721649,-0.04533739456419872,0.6019417475728155,0.5727272727272728,-0.029214474845542737,0.2,0.2,0.0,0.4,0.4,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.07455186940974146
2026-02-19,Sri Lanka,Zimbabwe,Zimbabwe,1,0,False,True,CHALLENGER_IMPROVEMENT,1.0,1.0,0.0,0.4497607655502392,0.4444444444444444,-0.005316321105794775,0.4233128834355828,0.3776595744680851,-0.0456533089674977,0.6,0.6,0.0,0.6,0.6,0.0,0.7,0.7,0.0,0.3,0.3,0.0,0.3846153846153846,0.3846153846153846,0.0,0.5,0.5,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.05096963007329247
2026-03-05,India,England,India,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.7035573122529645,0.6813186813186813,-0.022238630934283132,0.5645933014354066,0.5401785714285714,-0.02441473000683525,0.8,0.8,0.0,1.0,1.0,0.0,0.5862068965517241,0.5862068965517241,0.0,0.4137931034482758,0.4137931034482758,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.04665336094111838
2026-03-27,Eswatini,Malawi,Malawi,1,0,False,True,CHALLENGER_IMPROVEMENT,1.0,1.0,0.0,0.4666666666666667,0.4117647058823529,-0.05490196078431375,0.3684210526315789,0.35,-0.01842105263157895,0.8,0.4,-0.4,0.2,0.2,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1,3,"team1_historical_win_rate, team2_historical_win_rate, team1_recent_win_rate",0.4733230134158927
2026-04-09,Norway,France,France,1,0,False,True,CHALLENGER_IMPROVEMENT,1.0,1.0,0.0,0.5106382978723404,0.5106382978723404,0.0,0.4473684210526316,0.4473684210526316,0.0,0.4,0.4,0.0,0.4,0.4,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.2857142857142857,0.2857142857142857,0.0,0.3333333333333333,0.4,0.06666666666666671,1,1,team2_venue_win_rate,0.06666666666666671
2026-05-08,Cyprus,Finland,Finland,0,1,True,False,CHALLENGER_REGRESSION,1.0,1.0,0.0,0.6060606060606061,0.6176470588235294,0.01158645276292336,0.4482758620689655,0.4193548387096774,-0.028921023359288145,0.8,0.8,0.0,0.6,0.4,-0.19999999999999996,0.0,0.5,0.5,1.0,0.5,-0.5,0.5,0.5384615384615384,0.038461538461538436,0.5,0.0,-0.5,1,7,"team1_historical_win_rate, team2_historical_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate, team1_venue_win_rate, team2_venue_win_rate",1.7789690145837498
2026-06-26,Serbia,Luxembourg,Luxembourg,1,0,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.28125,0.28125,0.0,0.325,0.325,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.2857142857142857,0.2857142857142857,0.0,1,0,NONE,0.0
2026-07-07,England,India,England,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.5639810426540285,0.5374449339207048,-0.026536108733323682,0.6976744186046512,0.6738351254480287,-0.023839293156622476,0.8,0.6,-0.20000000000000007,0.4,0.2,-0.2,0.4193548387096774,0.40625,-0.01310483870967738,0.5806451612903226,0.5625,-0.01814516129032262,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1,6,"team1_historical_win_rate, team2_historical_win_rate, team1_recent_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate",0.48162540188994624
2026-07-11,England,India,England,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.568075117370892,0.5414847161572053,-0.02659040121368672,0.6923076923076923,0.6690391459074733,-0.023268546400219026,0.8,0.6,-0.20000000000000007,0.0,0.0,0.0,0.4545454545454545,0.4411764705882353,-0.013368983957219194,0.5454545454545454,0.5294117647058824,-0.016042780748663055,0.4,0.4,0.0,1.0,1.0,0.0,1,5,"team1_historical_win_rate, team2_historical_win_rate, team1_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate",0.27927071231978806
2026-07-13,Denmark,Hungary,Denmark,1,0,True,False,CHALLENGER_REGRESSION,1.0,1.0,0.0,0.5,0.4893617021276595,-0.010638297872340496,0.4222222222222222,0.4130434782608695,-0.009178743961352709,1.0,1.0,0.0,0.4,0.4,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.6470588235294118,0.6470588235294118,0.0,1.0,1.0,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.019817041833693205
2026-07-15,Zimbabwe,Bangladesh,Zimbabwe,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.4191616766467065,0.375,-0.044161676646706505,0.390625,0.3943661971830985,0.0037411971830985102,0.4,0.4,0.0,0.2,0.2,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.625,0.625,0.0,0.5,0.5,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.047902873829805015
2026-07-19,Zimbabwe,Bangladesh,Bangladesh,1,0,False,True,CHALLENGER_IMPROVEMENT,1.0,1.0,0.0,0.4201183431952662,0.3762886597938144,-0.043829683401451824,0.3917525773195876,0.3953488372093023,0.0035962598897146814,0.2,0.2,0.0,0.2,0.2,0.0,0.3461538461538461,0.3461538461538461,0.0,0.6538461538461539,0.6538461538461539,0.0,0.6111111111111112,0.6111111111111112,0.0,0.5,0.5,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.047425943291166506
2026-08-08,Brazil,Mexico,Brazil,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.35,0.3181818181818182,-0.0318181818181818,0.4137931034482758,0.4193548387096774,0.005561735261401579,0.2,0.2,0.0,0.6,0.6,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1,3,"team1_historical_win_rate, team2_historical_win_rate, team2_venue_win_rate",0.5373799170795834
2026-08-08,Mexico,Peru,Mexico,1,0,True,False,CHALLENGER_REGRESSION,1.0,1.0,0.0,0.4,0.4,0.0,0.0,0.5,0.5,0.4,0.6,0.19999999999999996,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1,3,"team2_historical_win_rate, team1_recent_win_rate, team2_recent_win_rate",1.2
2026-08-14,Portugal,Israel,Portugal,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.75,0.7317073170731707,-0.018292682926829285,0.25,0.25,0.0,1.0,0.8,-0.19999999999999996,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1,2,"team1_historical_win_rate, team1_recent_win_rate",0.21829268292682924
2026-08-15,Rwanda,Zambia,Zambia,1,0,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.3689320388349514,0.3584905660377358,-0.010441472797215579,0.3846153846153846,0.4285714285714285,0.04395604395604391,0.6,0.6,0.0,0.4,0.6,0.19999999999999996,0.6,0.6,0.0,0.4,0.4,0.0,0.7142857142857143,0.7142857142857143,0.0,0.3333333333333333,0.5,0.16666666666666669,1,4,"team1_historical_win_rate, team2_historical_win_rate, team2_recent_win_rate, team2_venue_win_rate",0.42106418341992613
