date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate,team1_historical_sample_size,team2_historical_sample_size,team1_h2h_sample_size,team2_h2h_sample_size,team1_venue_sample_size,team2_venue_sample_size,team1_h2h_reliability,team2_h2h_reliability,team1_venue_reliability,team2_venue_reliability
2014-09-07,England,India,Edgbaston,England,bat,T20,2014,England,1,1,0.4705882352941176,0.5833333333333334,0.2,0.8,0.5714285714285714,0.4285714285714285,1.0,0.5,68,48,7,7,1,0,MEDIUM,MEDIUM,LOW,LOW
2014-10-05,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,T20,2014/15,Australia,1,0,0.5285714285714286,0.6052631578947368,0.4,0.4,0.3636363636363636,0.6363636363636364,0.3333333333333333,0.5384615384615384,70,76,11,11,3,13,MEDIUM,MEDIUM,LOW,MEDIUM
2014-11-05,Australia,South Africa,Adelaide Oval,Australia,bat,T20,2014/15,South Africa,0,1,0.5352112676056338,0.5970149253731343,0.4,0.6,0.6363636363636364,0.3636363636363636,0.0,0.5,71,67,11,11,1,0,MEDIUM,MEDIUM,LOW,LOW
2014-11-07,Australia,South Africa,Melbourne Cricket Ground,South Africa,bat,T20,2014/15,Australia,1,0,0.5277777777777778,0.6029411764705882,0.4,0.8,0.5833333333333334,0.4166666666666667,0.7142857142857143,0.0,72,68,12,12,7,1,MEDIUM,MEDIUM,MEDIUM,LOW
2014-11-09,Australia,South Africa,Stadium Australia,Australia,field,T20,2014/15,Australia,1,1,0.5342465753424658,0.5942028985507246,0.6,0.6,0.6153846153846154,0.3846153846153846,0.6666666666666666,0.5,73,69,13,13,3,0,MEDIUM,MEDIUM,LOW,LOW
2014-11-24,Hong Kong,Nepal,P Sara Oval,Hong Kong,field,T20,2014/15,Hong Kong,1,1,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,2,2,1,1,0,0,LOW,LOW,LOW,LOW
2014-12-04,New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,field,T20,2014/15,Pakistan,0,0,0.5,0.5974025974025974,0.4,0.4,0.3333333333333333,0.6666666666666666,0.0,0.5,70,77,9,9,2,14,MEDIUM,MEDIUM,LOW,MEDIUM
2014-12-05,New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,field,T20,2014/15,New Zealand,1,0,0.4929577464788732,0.6025641025641025,0.4,0.6,0.3,0.7,0.0,0.5333333333333333,71,78,10,10,3,15,MEDIUM,MEDIUM,LOW,MEDIUM
2015-01-09,South Africa,West Indies,Newlands,South Africa,bat,T20,2014/15,West Indies,0,1,0.5857142857142857,0.4918032786885246,0.4,0.6,0.8333333333333334,0.1666666666666666,0.5,0.5,70,61,6,6,4,0,MEDIUM,MEDIUM,LOW,LOW
2015-01-11,South Africa,West Indies,New Wanderers Stadium,West Indies,field,T20,2014/15,West Indies,0,0,0.5774647887323944,0.5,0.2,0.6,0.7142857142857143,0.2857142857142857,0.75,0.0,71,62,7,7,12,3,MEDIUM,MEDIUM,MEDIUM,LOW
2015-01-14,South Africa,West Indies,Kingsmead,West Indies,field,T20,2014/15,South Africa,1,0,0.5694444444444444,0.5079365079365079,0.2,0.6,0.625,0.375,0.5,0.5,72,63,8,8,4,0,MEDIUM,MEDIUM,LOW,LOW
2015-04-24,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,T20,2015,Bangladesh,1,0,0.2,0.5949367088607594,0.0,0.4,0.0,1.0,0.125,0.6,35,79,7,7,8,5,MEDIUM,MEDIUM,MEDIUM,MEDIUM
2015-05-22,Pakistan,Zimbabwe,Gaddafi Stadium,Zimbabwe,bat,T20,2015,Pakistan,1,0,0.5875,0.1923076923076923,0.2,0.4,1.0,0.0,0.5,0.5,80,26,4,4,0,0,LOW,LOW,LOW,LOW
2015-05-24,Pakistan,Zimbabwe,Gaddafi Stadium,Zimbabwe,bat,T20,2015,Pakistan,1,0,0.5925925925925926,0.1851851851851851,0.4,0.4,1.0,0.0,1.0,0.0,81,27,5,5,1,1,MEDIUM,MEDIUM,LOW,LOW
2015-06-20,Ireland,Scotland,"Bready Cricket Club, Magheramason",Scotland,field,T20,2015,Scotland,0,0,0.625,0.2727272727272727,0.6,0.4,1.0,0.0,0.5,0.5,24,11,2,2,0,0,LOW,LOW,LOW,LOW
2015-06-23,England,New Zealand,Old Trafford,England,bat,T20,2015,England,1,1,0.4782608695652174,0.5,0.4,0.4,0.6363636363636364,0.3636363636363636,1.0,0.0,69,72,11,11,2,1,MEDIUM,MEDIUM,LOW,LOW
2015-07-01,Netherlands,Nepal,VRA Ground,Nepal,field,T20,2015,Netherlands,1,0,0.4761904761904761,0.3333333333333333,0.4,0.3333333333333333,0.5,0.5,0.5,0.5,21,3,0,0,0,0,LOW,LOW,LOW,LOW
2015-07-02,Netherlands,Nepal,Hazelaarweg,Netherlands,bat,T20,2015,Netherlands,1,1,0.5,0.25,0.4,0.25,1.0,0.0,0.5,0.5,22,4,1,1,0,0,LOW,LOW,LOW,LOW
2015-07-05,Bangladesh,South Africa,Shere Bangla National Stadium,South Africa,bat,T20,2015,South Africa,0,0,0.2222222222222222,0.5753424657534246,0.2,0.2,0.0,1.0,0.2222222222222222,0.0,36,73,2,2,9,1,LOW,LOW,MEDIUM,LOW
2015-07-07,Bangladesh,South Africa,Shere Bangla National Stadium,South Africa,bat,T20,2015,South Africa,0,0,0.2162162162162162,0.581081081081081,0.2,0.4,0.0,1.0,0.2,0.5,37,74,3,3,10,2,LOW,LOW,MEDIUM,LOW
2015-07-09,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",Scotland,field,T20,2015,Scotland,1,1,0.3333333333333333,0.0,0.6,0.0,0.5,0.5,0.5,0.5,12,3,0,0,0,0,LOW,LOW,LOW,LOW
2015-07-11,Scotland,Netherlands,"Grange Cricket Club Ground, Raeburn Place",Netherlands,bat,T20,2015,Netherlands,0,0,0.3846153846153846,0.5217391304347826,0.6,0.6,0.3333333333333333,0.6666666666666666,1.0,0.5,13,23,3,3,1,0,LOW,LOW,LOW,LOW
2015-07-12,Netherlands,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",Netherlands,field,T20,2015,Netherlands,1,1,0.5416666666666666,0.0,0.8,0.0,1.0,0.0,1.0,0.0,24,4,1,1,1,1,LOW,LOW,LOW,LOW
2015-07-13,Nepal,Ireland,"Civil Service Cricket Club, Stormont",Ireland,field,T20,2015,Ireland,0,0,0.2,0.6,0.2,0.4,0.5,0.5,0.5,0.5,5,25,0,0,0,2,LOW,LOW,LOW,LOW
2015-07-15,Ireland,Papua New Guinea,"Civil Service Cricket Club, Stormont",Ireland,bat,T20,2015,Papua New Guinea,0,1,0.6153846153846154,0.5,0.6,0.5,0.5,0.5,0.6666666666666666,0.5,26,0,0,0,3,0,LOW,LOW,LOW,LOW
2015-07-15,Hong Kong,Nepal,"Civil Service Cricket Club, Stormont",Hong Kong,field,T20,2015,Hong Kong,1,1,0.6666666666666666,0.1666666666666666,0.6666666666666666,0.0,0.5,0.5,0.5,0.0,3,6,2,2,0,1,LOW,LOW,LOW,LOW
2015-07-17,Zimbabwe,India,Harare Sports Club,India,bat,T20,2015,India,0,0,0.1785714285714285,0.5714285714285714,0.4,0.6,0.0,1.0,0.0,1.0,28,49,2,2,8,2,LOW,LOW,MEDIUM,LOW
2015-07-17,Nepal,Papua New Guinea,"The Village, Malahide",Papua New Guinea,field,T20,2015,Papua New Guinea,0,0,0.1428571428571428,1.0,0.0,1.0,0.5,0.5,0.5,0.5,7,1,0,0,0,0,LOW,LOW,LOW,LOW
2015-07-17,Ireland,Hong Kong,"The Village, Malahide",Ireland,field,T20,2015,Hong Kong,0,1,0.5925925925925926,0.75,0.4,0.75,0.5,0.5,0.5,0.5,27,4,0,0,0,0,LOW,LOW,LOW,LOW
2015-07-19,Zimbabwe,India,Harare Sports Club,Zimbabwe,bat,T20,2015,Zimbabwe,1,1,0.1724137931034483,0.58,0.4,0.6,0.0,1.0,0.0,1.0,29,50,3,3,9,3,LOW,LOW,MEDIUM,LOW
2015-07-25,Hong Kong,Scotland,"The Village, Malahide",Scotland,field,T20,2015,Scotland,0,0,0.8,0.3571428571428571,0.8,0.6,0.5,0.5,1.0,0.5,5,14,0,0,1,0,LOW,LOW,LOW,LOW
2015-07-25,Ireland,Netherlands,"The Village, Malahide",Netherlands,field,T20,2015,Netherlands,0,0,0.5714285714285714,0.56,0.2,1.0,0.6666666666666666,0.3333333333333333,0.0,0.5,28,25,3,3,1,0,LOW,LOW,LOW,LOW
2015-07-30,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,T20,2015,Pakistan,0,0,0.6349206349206349,0.5975609756097561,0.8,0.6,0.4166666666666667,0.5833333333333334,0.1428571428571428,0.6,63,82,12,12,7,5,MEDIUM,MEDIUM,MEDIUM,MEDIUM
