date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate
2009-09-02,Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,T20,2009,New Zealand,0,0,0.631578947368421,0.4166666666666667,0.6,0.4,0.75,0.25,0.0,0.5
2009-09-04,Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,T20,2009,New Zealand,0,0,0.6,0.44,0.4,0.4,0.6,0.4,0.0,1.0
2009-11-12,New Zealand,Pakistan,Dubai International Cricket Stadium,New Zealand,field,T20,2009/10,Pakistan,0,1,0.46153846153846156,0.8095238095238095,0.6,1.0,0.0,1.0,0.5,1.0
2009-11-13,New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,T20,2009/10,Pakistan,0,0,0.4444444444444444,0.8181818181818182,0.4,1.0,0.0,1.0,0.0,1.0
2009-11-13,South Africa,England,New Wanderers Stadium,South Africa,field,T20,2009/10,England,0,1,0.6521739130434783,0.4,0.8,0.4,1.0,0.0,0.75,0.5
2009-11-15,South Africa,England,SuperSport Park,South Africa,bat,T20,2009/10,South Africa,1,1,0.625,0.42857142857142855,0.6,0.6,0.6666666666666666,0.3333333333333333,1.0,0.5
2009-12-09,India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",India,field,T20,2009/10,Sri Lanka,0,1,0.5625,0.5714285714285714,0.4,0.2,1.0,0.0,0.5,0.5
2009-12-12,India,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",Sri Lanka,bat,T20,2009/10,India,1,0,0.5294117647058824,0.5909090909090909,0.2,0.2,0.5,0.5,0.5,0.5
2010-02-03,New Zealand,Bangladesh,Seddon Park,Bangladesh,bat,T20,2009/10,New Zealand,1,0,0.42857142857142855,0.16666666666666666,0.4,0.0,0.5,0.5,1.0,0.5
2010-02-05,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,T20,2009/10,Australia,1,1,0.4782608695652174,0.8260869565217391,0.0,1.0,0.0,1.0,1.0,0.5
2010-02-09,Canada,Netherlands,Dubai International Cricket Stadium,Canada,bat,T20,2009/10,Netherlands,0,1,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.5,0.5
