date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2023-10-07,Pakistan,Bangladesh,Zhejiang University of Technology Cricket Field,Bangladesh,field,T20,2023,Bangladesh
2023-10-08,Rwanda,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,bat,T20,2023/24,Rwanda
2023-10-08,Sierra Leone,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,T20,2023/24,Nigeria
2023-10-10,Nigeria,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,T20,2023/24,Nigeria
2023-10-10,Sierra Leone,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,T20,2023/24,Sierra Leone
2023-10-11,Ghana,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,T20,2023/24,Nigeria
2023-10-11,Sierra Leone,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,T20,2023/24,Rwanda
2023-10-12,Nigeria,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,T20,2023/24,Nigeria
2023-10-12,Ghana,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,bat,T20,2023/24,Rwanda
2023-10-14,Ghana,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,T20,2023/24,Ghana
2023-10-14,Rwanda,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,T20,2023/24,Nigeria
2023-10-15,Luxembourg,Gibraltar,Europa Sports Complex,Luxembourg,bat,T20,2023/24,Luxembourg
2023-10-15,Gibraltar,Luxembourg,Europa Sports Complex,Luxembourg,field,T20,2023/24,Gibraltar
2023-10-15,Nigeria,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,T20,2023/24,Nigeria
2023-10-15,Ghana,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,bat,T20,2023/24,Sierra Leone
2023-10-18,Chile,Mexico,St Georges Quilmes,Chile,bat,T20,2023/24,Mexico
2023-10-18,United Arab Emirates,Nepal,Mulpani Cricket Ground,Nepal,field,T20,2023/24,Nepal
2023-10-19,Hong Kong,Nepal,Mulpani Cricket Ground,Nepal,field,T20,2023/24,Nepal
2023-10-19,Mexico,Argentina,St Georges Quilmes,Argentina,field,T20,2023/24,Argentina
2023-10-20,Chile,Argentina,St Georges Quilmes,Chile,bat,T20,2023/24,Argentina
2023-10-21,Nepal,Hong Kong,Mulpani Cricket Ground,Nepal,bat,T20,2023/24,Nepal
