date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate,actual,predicted,team1_probability,team2_probability,correct_prediction,confidence,confidence_level,year,historical_difference
2025-09-01,Netherlands,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,T20,2025,Bangladesh,0,0,0.5327102803738317,0.3942857142857143,0.6,0.8,0.1666666666666666,0.8333333333333334,0.0,0.3333333333333333,0,0,0.3232628629675734,0.6767371370324267,True,0.6767371370324267,MEDIUM,2025,0.13842456608811743
2025-09-03,Zimbabwe,Sri Lanka,Harare Sports Club,Sri Lanka,field,T20,2025,Sri Lanka,0,0,0.3972602739726027,0.4444444444444444,0.2,0.4,0.2,0.8,0.2444444444444444,0.5,0,0,0.37317621867838147,0.6268237813216185,True,0.6268237813216185,MEDIUM,2025,0.0471841704718417
2025-09-04,Pakistan,United Arab Emirates,Sharjah Cricket Stadium,Pakistan,bat,T20,2025,Pakistan,1,1,0.5910931174089069,0.5754716981132075,0.8,0.6,1.0,0.0,1.0,0.5,1,1,0.662072719839016,0.33792728016098394,True,0.662072719839016,MEDIUM,2025,0.01562141929569938
2025-09-06,Sri Lanka,Zimbabwe,Harare Sports Club,Zimbabwe,field,T20,2025,Zimbabwe,0,0,0.4473684210526316,0.3945578231292517,0.6,0.0,0.8333333333333334,0.1666666666666666,1.0,0.2391304347826087,0,1,0.7237150348254151,0.2762849651745849,False,0.7237150348254151,HIGH,2025,0.05281059792337989
2025-09-07,Zimbabwe,Sri Lanka,Harare Sports Club,Sri Lanka,field,T20,2025,Sri Lanka,0,0,0.3986486486486486,0.4450261780104712,0.2,0.4,0.2857142857142857,0.7142857142857143,0.2553191489361702,0.5,0,0,0.39518151181945954,0.6048184881805405,True,0.6048184881805405,MEDIUM,2025,0.0463775293618226
2025-09-10,United Arab Emirates,India,Dubai International Cricket Stadium,India,field,T20,2025,India,0,0,0.5700934579439252,0.6885964912280702,0.4,0.8,0.0,1.0,0.25,0.5,0,0,0.27834677541785585,0.7216532245821441,True,0.7216532245821441,HIGH,2025,0.11850303328414502
2025-09-10,South Africa,England,"Sophia Gardens, Cardiff",England,field,T20,2025,South Africa,1,0,0.5482233502538071,0.5412371134020618,0.2,0.6,0.52,0.48,1.0,0.75,1,0,0.4985838051985424,0.5014161948014576,False,0.5014161948014576,LOW,2025,0.006986236851745264
2025-09-11,Hong Kong,Bangladesh,"Zayed Cricket Stadium, Abu Dhabi",Bangladesh,field,T20,2025,Bangladesh,0,0,0.4803921568627451,0.3977272727272727,0.6,0.8,1.0,0.0,0.5,0.0,0,1,0.5869024304349933,0.41309756956500665,False,0.5869024304349933,LOW,2025,0.0826648841354724
2025-09-12,Eswatini,Mozambique,Malkerns Country Club oval,Eswatini,bat,T20,2025,Eswatini,1,1,0.3,0.4444444444444444,0.4,0.6,0.0,1.0,0.5,0.5,1,0,0.3005768097385125,0.6994231902614876,False,0.6994231902614876,MEDIUM,2025,0.14444444444444443
2025-09-12,Eswatini,Mozambique,Malkerns Country Club oval,Eswatini,bat,T20,2025,Eswatini,1,1,0.3636363636363636,0.4210526315789473,0.6,0.6,0.5,0.5,1.0,0.0,1,1,0.5258033579488873,0.47419664205111267,True,0.5258033579488873,LOW,2025,0.0574162679425837
2025-09-12,Pakistan,Oman,Dubai International Cricket Stadium,Pakistan,bat,T20,2025,Pakistan,1,1,0.592741935483871,0.4761904761904761,0.8,0.0,0.5,0.5,0.5333333333333333,0.3333333333333333,1,1,0.6374838303270757,0.3625161696729243,True,0.6374838303270757,MEDIUM,2025,0.11655145929339489
2025-09-12,England,South Africa,"Old Trafford, Manchester",South Africa,field,T20,2025,England,1,0,0.5384615384615384,0.5505050505050505,0.6,0.4,0.4615384615384615,0.5384615384615384,1.0,0.5,1,1,0.5515976982413918,0.4484023017586082,True,0.5515976982413918,LOW,2025,0.012043512043512061
2025-09-13,Eswatini,Mozambique,Malkerns Country Club oval,Eswatini,bat,T20,2025,Eswatini,1,1,0.4166666666666667,0.4,0.6,0.6,0.6666666666666666,0.3333333333333333,1.0,0.0,1,1,0.5830235920354242,0.4169764079645758,True,0.5830235920354242,LOW,2025,0.016666666666666663
2025-09-13,Bangladesh,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,field,T20,2025,Sri Lanka,0,0,0.4011299435028249,0.4479166666666667,0.8,0.4,0.4,0.6,0.3333333333333333,1.0,0,0,0.4161714430788382,0.5838285569211619,True,0.5838285569211619,LOW,2025,0.046786723163841804
2025-09-14,Pakistan,India,Dubai International Cricket Stadium,Pakistan,bat,T20,2025,India,0,1,0.5943775100401606,0.6899563318777293,0.8,0.8,0.25,0.75,0.5483870967741935,0.5555555555555556,0,0,0.37724000927740886,0.6227599907225911,True,0.6227599907225911,MEDIUM,2025,0.09557882183756872
